imperfective_id	perfective_id	imperfective	perfective
17757	18125	mamiti	omamiti
5783	5784	prosvěćati	prosvětiti
3804	3805	uznavati	uznati
33571	33576	viti	sviti
10250	10246	opušćati	opustiti
14816	14815	oslabjati	oslabiti
4351	4349	pohyćati	pohytiti
10004	10000	odnositi	odnesti
23375	23376	vpivati	vpiti
22935	22936	naduživati	nadužiti
1892	1495	zloupotrěbjati	zloupotrěbiti
35319	35318	uskorjati	uskoriti
11467	3374	prijmati	prijęti
32434	31258	vměšćati	vměstiti
20609	20611	poměšćati	poměstiti
5134	5135	sųprovađati	sųprovoditi
22569	22571	sȯvŕšati	sȯvŕšiti
17443	17850	gromaditi	nagromaditi
1268	351	privykati	privyknųti
3418	3443	spoznavati	spoznati
21660	21659	zapoznavati	zapoznati
32383	27933	nabyvati	nabyti
10236	10235	opravdyvati	opravdati
1131	2100	unevinjati	uneviniti
1471	3148	postųpati	postųpiti
21273	21272	dobavjati	dobaviti
1704	311	dodavati	dodati
35782	35781	pridavati	pridati
33152	33149	nastavjati	nastaviti
21198	21194	upravjati	upraviti
1214	2287	priznavati	priznati
20859	20862	dopušćati	dopustiti
21080	21083	pripušćati	pripustiti
33299	28236	nastųpati	nastųpiti
4109	14878	raditi	poraditi
34349	29196	odrađati	odraditi
4475	6019	sȯvětovati	posȯvětovati
33777	30136	råzčuljati	råzčuliti
2828	890	ovplyvnjati	ovplyvniti
4111	4112	zastarjati	zastariti
12589	21455	starěti	postarěti
4114	4113	dozrěvati	dozrěti
22314	22315	privoljati	privoliti
2204	1467	cěliti	pricěliti
4624	4623	provětrjati	provětriti
6211	6212	odčuđati	odčuđiti
18466	18467	priděljati	priděliti
3156	2946	pozvaljati	pozvoliti
7208	7207	dopušćati	dopustiti
18420	18423	prěinačati	prěinačiti
2507	2502	izpravjati	izpraviti
34724	34725	vȯzsilovati	vȯzsiliti
30581	30580	råzveseljati	råzveseliti
3414	3444	zabavjati	zabaviti
2250	2349	gněvati	råzgněvati
14993	18627	sŕditi	råzsŕditi
34744	29799	zlobiti	ozlobiti
22224	22225	obvěšćati	obvěstiti
1481	173	oglašati	oglåsiti
21275	21276	dosađati	dosaditi
32234	32233	namazyvati	namazati
5382	3242	odgovarjati	odgovoriti
2189	2972	odpovědati	odpověděti
21761	21762	prědstavati	prědstati
18670	18672	rųkopleskati	rųkoplesknųti
20649	20650	priměnjati	priměniti
27441	29436	mastiti	omastiti
22022	22021	prisvajati	prisvojiti
10013	10012	odobrjati	odobriti
393	1651	utvŕđati	utvŕditi
20795	20798	vnikati	vniknųti
29580	33024	orųžiti	vȯorųžiti
32691	30231	råzkladati	råzložiti
23929	23927	råzporęđati	råzporęditi
21784	21787	råzstavjati	råzstaviti
22366	22369	uręđati	uręditi
2221	297	zadŕživati	zadŕžati
18463	18462	pribyvati	pribyti
21471	21472	prilětati	priletěti
21477	21476	prispěvati	prispěti
36733	36732	priplyvati	priplyvti
5938	8086	pytati	spytati
2072	2238	sprašati	sprositi
5535	3438	zapytyvati	zapytati
3130	18400	prědpokladati	prědpoložiti
1649	200	uvěrjati	uvěriti
25073	36635	čuditi	začuditi
20079	11466	prikladati	priložiti
955	957	napadati	napasti
23898	23896	pokušati	pokusiti
10392	10391	ověrjati	ověriti
22229	22227	posvědčati	posvědčiti
23178	23179	pritęgati	pritęgnųti
23182	23180	privabjati	privabiti
23175	23177	privlåčivati	privlěkti
18487	18486	pripisyvati	pripisati
1419	1779	upȯlnomoćevati	upȯlnomoćiti
1042	1121	odvraćati	odvråtiti
1953	642	izběgati	izběgti
22007	22008	prisųđati	prisųditi
24437	34834	bajati	nabajati
10063	21941	odstųpati	odstųpiti
25708	29317	goliti	ogoliti
34077	28786	oblajivati	oblajati
24530	36471	barikadovati	zabarikadovati
3453	3445	kųpati	izkųpati
32542	29616	sirotěti	osirotěti
32435	31339	vȯzkresati	vȯzkresnųti
20568	20572	odbivati	odbiti
1810	2952	stavati	stati
13810	16419	vȯzrastati	vȯzråsti
32541	29554	pustěti	opustěti
26859	29398	krěpěti	okrěpnųti
25661	29305	glupěti	oglupěti
27638	29441	mlåděti	omlåděti
34547	29577	orašati	orositi
21849	21848	stigati	stignųti
22798	22797	izprašati	izprositi
15112	15111	umoljati	umoliti
23029	36627	porađati	poroditi
22779	22780	načinati	načęti
2835	1078	počinati	počęti
14041	14040	začinati	začęti
34356	34358	rygati	rygnųti
3106	199	věriti	uvěriti
17845	17846	nagybati	nagnųti
18468	18469	prigybati	prignųti
21348	21349	naklanjati	nakloniti
21738	21739	ostavjati	ostaviti
34553	29587	obsađati	obsaditi
34091	28830	obmazyvati	obmazati
16974	17083	nadavati	nadati
35612	35613	prědavati	prědati
21673	21675	zarųčati	zarųčiti
16893	9923	očarovyvati	očarovati
21603	21605	urěkati	urěkti
668	5595	gryzti	ugryzti
17718	27005	kųsati	kųsnųti
5648	5647	odgryzati	odgryzti
4702	4703	odkųšati	odkųsiti
32657	29035	očrnjati	očrniti
5574	5573	blågoslavjati	blågosloviti
29637	29636	oslěpjati	oslěpiti
193	940	blokovati	zablokovati
19867	5621	nadųvati	nadųti
34698	29768	otųpjati	otųpiti
30338	30337	råzmyvati	råzmyti
17323	17325	dosađati	dosaditi
23921	23920	provŕćati	provŕtiti
22391	23389	pozajmati	pozajęti
5019	34330	plesti	splesti
266	3460	lamati	slomiti
18607	18608	råzkladati	råzložiti
4777	3553	råzrušati	råzrušiti
28788	28817	oblamyvati	oblomiti
5587	2026	odlamyvati	odlomiti
5588	4614	prolamyvati	prolomiti
5589	4615	råzlamyvati	råzlomiti
25459	17283	dyhati	dȯhnųti
23787	23788	vdyhati	vdȯhnųti
35505	35506	råzvoditi	råzvesti
10723	10724	podkupovati	podkupiti
33815	28974	obuzdyvati	obuzdati
18603	18605	råzjasnjati	råzjasniti
28080	28077	nanositi	nanesti
3220	3221	prinositi	prinesti
3470	3471	privoziti	privezti
11517	31952	privoditi	privesti
5508	5509	odvoziti	odvezti
5440	5439	snositi	snesti
23031	36628	porađati	poroditi
5454	5455	vnositi	vnesti
