id,gloss,pos,official,predicted,norm_edit,branch_cov,n_langs
15958,computerized,adj,kompjuterizovany,komputerizovany,0.062,3,12
15959,computerize,verb,kompjuterizovati,komputerizovati,0.062,3,10
20120,"circulation, dissemination",noun,råzprostrånjeńje,råzprostranenje,0.062,2,22
19635,Anglo-Saxon,adj,anglosaksonsky,anglo-saksonsky,0.067,2,11
35202,"improbable, unlikely",adj,nepravdopodobny,nepravdepodobny,0.067,2,18
22773,North Korean,adj,sěvernokorejsky,severokorejsky,0.067,2,11
5901,blessing,noun,blågoslovjeńje,blagoslovenje,0.071,1,14
36604,philanthropic,adj,člověkoljubivy,čovekoljubivy,0.071,1,20
25093,dactyloscopy,noun,daktyloskopija,daktiloskopija,0.071,3,12
8025,"exclusively, exceptionally",adv,izključiteljno,izklučiteljno,0.071,2,18
23588,luminescence,noun,luminescencija,luminiscencija,0.071,3,11
35832,"neutralisation, neutralization",noun,nevtralizacija,neutralizacija,0.071,3,12
35831,"neutralise, neutralize",verb,nevtralizovati,neutralizovati,0.071,2,10
16997,Pan-Slavist,adj,panslavističny,panslavistyčny,0.071,2,11
34893,rename,verb,prěimenovyvati,premenovyvati,0.071,2,14
10294,"slavicise, slavicize",verb,slovjanizovati,slovanizovati,0.071,3,20
36695,morbidity (rate),noun,zabolěvajemosť,zabolevaemosť,0.071,2,18
34777,poaching,noun,brakonierstvo,brakonjerstvo,0.077,2,15
17179,bulgarization,noun,bulgarizacija,bȯlgarizacija,0.077,3,12
6894,philanthropist,noun,člověkoljubec,čovekoljubec,0.077,1,21
25092,fingerspelling,noun,daktylologija,daktilologija,0.077,3,12
19712,heterogeneity,noun,heterogennosť,heterogenosť,0.077,3,22
19731,intellectual,adj,intelektuaľny,intlektualny,0.077,3,11
16948,simultaneously,adv,jednovrěmenno,ednovremenno,0.077,2,16
27381,"Magyarisation, Magyarization",noun,madjarizacija,madžarizacija,0.077,3,14
17849,accumulation,noun,nagromađeńje,nagromadzenje,0.077,2,15
23878,perfume,verb,naparfumovati,naparfemovati,0.077,1,15
20534,misunderstanding,noun,nedoråzuměńje,nedorozumenje,0.077,2,13
9598,"unexpectedness, suddenness",noun,neočekyvanosť,neočekavanosť,0.077,2,19
9608,"indefinitely, indeterminately",adv,neoprěděljeno,neopredeleno,0.077,2,17
9609,"indefinite, indeterminate",adj,neoprěděljeny,neopredeleny,0.077,2,20
33821,waterproof,adj,nepromokajemy,nepromokaemy,0.077,2,14
4387,Proto-Slavic,adj,praslovjansky,praslovansky,0.077,3,13
11177,rectangle,noun,pravovųgȯľnik,pravougolnik,0.077,2,17
1199,prehistory,noun,prědhistorija,predistorija,0.077,2,16
1524,"present, introduce, represent",verb,prědstavjati,prědstavljati,0.077,2,22
11264,"#introduction, presentation, performance (theater)",noun,prědstavjeńje,prědstavlenje,0.077,2,24
36563,Transnistria,noun,Pridněstrovje,pridnestrovie,0.077,2,13
20657,affiliation,noun,prinaležnosť,prinadležnosť,0.077,2,16
41,"disappointment, disenchantment, frustration",noun,råzočarovańje,råzčarovanje,0.077,3,19
5543,"work out, draw up, elaborate",verb,råzråbotyvati,råzrabatyvati,0.077,1,14
35519,republican,noun,republikanec,respublikanec,0.077,1,11
15534,North Sea,adj,sěvernomorsky,severomorsky,0.077,2,13
